legislator_profile_id,legislator_id_canon
758,3678
2724,3678
3466,3678
3256,3678
2514,3678
2939,3678
2832,3678
117,3678
12,3678
3150,3678
222,3678
2619,3678
557,3678
3571,3678
653,3678
3361,3678
3044,3678
2725,3679
2620,3679
2515,3679
3362,3679
149,3679
338,3679
3257,3679
704,3679
3467,3679
253,3679
3151,3679
2940,3679
44,3679
2833,3679
3045,3679
809,3679
1451,3780
1168,3780
3572,3780
1318,3780
785,3780
1213,3780
680,3780
602,3780
1884,2658
2094,2658
1989,2658
2621,1927
3573,1927
3046,1927
1885,1927
2095,1927
2304,1927
1990,1927
2516,1927
2941,1927
2409,1927
2199,1927
2834,1927
2726,1927
576,1927
1754,3879
1563,3879
3677,3879
3912,3879
1153,3879
1503,3879
528,3879
883,3879
1374,3879
1766,3879
4122,3879
1269,3879
1043,3879
4017,3879
3047,3045
3363,3045
3574,3045
2410,3045
621,3045
2200,3045
1991,3045
3152,3045
2305,3045
2942,3045
3258,3045
3468,3045
2517,3045
2096,3045
1886,3045
2727,3045
2622,3045
2835,3045
4456,3989
4445,3990
3786,3972
3913,3972
4018,3972
4123,3972
4333,3972
4441,3992
1992,2773
2097,2773
1887,2773
4019,3913
1186,3913
3914,3913
1402,3913
1614,3913
1767,3913
1531,3913
4334,3913
4124,3913
1297,3913
1700,3913
3678,3913
1689,3937
1768,3937
3915,3937
1619,3937
1551,3937
1423,3937
3679,3937
1424,3937
4020,3937
4125,3937
1502,3680
1373,3680
2836,3680
915,3680
2728,3680
787,3680
2518,3680
3364,3680
2943,3680
420,3680
3153,3680
682,3680
3575,3680
1268,3680
3469,3680
527,3680
3259,3680
1042,3680
1166,3680
2623,3680
3048,3680
604,3680
1518,3899
4126,3899
1723,3899
1284,3899
1769,3899
4336,3899
952,3899
1567,3899
3916,3899
3680,3899
1389,3899
4021,3899
1063,3899
1147,3899
2729,3681
2837,3681
2944,3681
284,3681
362,3681
180,3681
2519,3681
2624,3681
75,3681
469,3681
3049,3681
1888,2074
2098,2074
1993,2074
1889,2113
2099,2113
2201,2113
2411,2113
2306,2113
1994,2113
3667,3777
642,3777
747,3777
541,3777
158,3785
821,3785
53,3785
716,3785
262,3785
1685,3951
4022,3951
4127,3951
4337,3951
1770,3951
3917,3951
1602,3951
3681,3951
2945,611
3154,611
3050,611
3470,611
3260,611
3365,611
2520,611
2625,611
2202,611
2412,611
2307,611
2838,611
2730,611
3682,3786
884,3786
1467,3786
4023,3786
56,3786
1230,3786
1154,3786
1441,3786
3918,3786
1335,3786
265,3786
161,3786
4338,3786
1771,3786
4128,3786
453,3786
346,3786
983,3786
720,3786
1741,3786
825,3786
666,3741
3155,3741
579,3741
17,3741
122,3741
227,3741
3261,3741
3471,3741
3366,3741
3576,3741
771,3741
938,3900
3683,3900
1057,3900
1772,3900
4024,3900
3919,3900
1513,3900
1122,3900
4339,3900
1592,3900
1654,3900
1279,3900
1384,3900
4129,3900
1670,3940
1553,3940
3684,3940
1643,3940
1449,3940
3051,3682
685,3682
974,3682
135,3682
30,3682
437,3682
790,3682
2626,3682
3262,3682
3472,3682
3577,3682
2521,3682
3367,3682
609,3682
330,3682
853,3682
2731,3682
239,3682
2946,3682
2839,3682
3156,3682
4130,3973
4340,3973
4025,3973
3798,3973
3920,3973
2732,2059
2627,2059
2308,2059
2522,2059
2413,2059
2203,2059
2100,2059
1890,2059
1995,2059
3368,2059
3473,2059
3263,2059
3157,2059
1996,1938
2309,1938
2204,1938
2414,1938
2101,1938
1891,1938
1892,3115
2733,3115
1997,3115
2102,3115
2523,3115
2310,3115
2628,3115
2415,3115
2205,3115
2103,2793
2416,2793
2206,2793
2524,2793
1893,2793
2840,2793
2734,2793
2629,2793
2311,2793
2947,2793
1998,2793
3052,2793
702,3814
807,3814
251,3814
337,3814
854,3814
977,3814
444,3814
42,3814
147,3814
2104,3128
2525,2126
2207,2126
2417,2126
2735,2126
2105,2126
1894,2126
2312,2126
2630,2126
1999,2126
2631,3091
2313,3091
1895,3091
2000,3091
2106,3091
2736,3091
2208,3091
2526,3091
2418,3091
888,3742
3158,3742
1578,3742
688,3742
3578,3742
3369,3742
964,3742
3685,3742
1319,3742
138,3742
1118,3742
793,3742
1710,3742
33,3742
614,3742
1214,3742
3264,3742
3474,3742
242,3742
1452,3742
3159,3712
3579,3712
3370,3712
625,3712
3475,3712
3265,3712
2841,3712
2948,3712
3053,3712
2314,3653
781,3653
2949,3653
676,3653
3580,3653
2737,3653
3054,3653
2632,3653
593,3653
2419,3653
2527,3653
2209,3653
2842,3653
4459,3993
1369,3878
522,3878
1037,3878
4131,3878
1775,3878
1714,3878
1498,3878
4341,3878
856,3878
3921,3878
4026,3878
3686,3878
1264,3878
415,3878
1582,3878
1171,3878
1040,3877
928,3877
525,3877
1180,3877
1266,3877
418,3877
1500,3877
1371,3877
1328,3774
670,3774
21,3774
775,3774
1112,3774
1461,3774
586,3774
3581,3774
231,3774
326,3774
1223,3774
126,3774
433,3774
1764,3967
3922,3967
4342,3967
3687,3967
4027,3967
4132,3967
1776,3967
2210,2738
2420,2738
2315,2738
2001,2738
1896,2738
2107,2738
3923,3945
3688,3945
4028,3945
1641,3945
4343,3945
